title,runtime,des,date,genre,cast,director,vote,gross,rating
Early Man,89,"    Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home.",2018,"Animation, Adventure, Comedy            ","Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall",Nick Park,17229,$8.27M,6.1
Casual,25,"    A comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter.",2015,"Comedy, Drama            ","Michaela Watkins, Tommy Dewey, Tara Lynne Barr, Nyasha Hatendi",,6752,,7.5
Cloudy with a Chance of Meatballs 2,95,"    Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.",2013,"Animation, Adventure, Comedy            ","Bill Hader, Anna Faris, Will Forte, Neil Patrick Harris","Cody Cameron, Kris Pearn",84089,$119.79M,6.4
Dil Dhadakne Do,170,    The Mehra family must contemplate over their way of living and their love lives while on a cruise celebrating their 30th wedding anniversary.,2015,"Comedy, Drama, Romance            ","Anil Kapoor, Shefali Shah, Priyanka Chopra, Ranveer Singh",Zoya Akhtar,13279,,6.8
Unfinished Business,91,"    A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable.",2015,"Comedy, Drama            ","Vince Vaughn, Dave Franco, Tom Wilkinson, James Marsden",Ken Scott,30033,$10.21M,5.4
Keanu,100,"    When the adorable kitten of an L.A. crime kingpin unexpectedly enters the life of two cousins, they will have to go through tough gangs, pitiless hit-men, and ruthless drug dealers who all claim him, to get him back. How hard can it be?",2016,"Action, Comedy, Crime            ","Keegan-Michael Key, Jordan Peele, Tiffany Haddish, Method Man",Peter Atencio,43132,$20.57M,6.3
St. Vincent,102,"    A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door.",2014,"Comedy, Drama            ","Bill Murray, Melissa McCarthy, Naomi Watts, Jaeden Martell",Theodore Melfi,91179,$44.13M,7.2
Duck Butter,93,"    Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.",2018,"Comedy, Drama, Romance            ","Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau",Miguel Arteta,2341,$0.01M,5.2
Sierra Burgess Is a Loser,105,    A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,"Comedy, Drama, Romance            ","Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo",Ian Samuels,30402,,5.9
Once Upon a Time in Venice,94,    A Los Angeles detective seeks out the ruthless gang that stole his dog.,2017,"Action, Comedy            ","Bruce Willis, John Goodman, Jason Momoa, Emily Robinson",Mark Cullen,15622,,5.3
Finding Mrs. Claus,89,"    When Mrs. Claus (Mira Sorvino) feels neglected by her less than attentive husband (Will Sasso), she goes to Las Vegas to help a little girl with her Christmas wish. But when Santa finds out...                See full summary »",2012,"Comedy, Romance            ","Mira Sorvino, Will Sasso, Laura Vandervoort, Andrew W. Walker",Mark Jean,775,,6.2
Here Comes the Boom,105,    A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.,2012,"Action, Comedy, Sport            ","Kevin James, Salma Hayek, Henry Winkler, Greg Germann",Frank Coraci,82867,$45.29M,6.4
Mississippi Grind,108,"    Down on his luck and facing financial hardship, Gerry teams up with younger charismatic poker player, Curtis, in an attempt to change his luck. The two set off on a road trip through the South with visions of winning back what's been lost.",2015,"Comedy, Drama            ","Ben Mendelsohn, Ryan Reynolds, Yvonne Landry, Anthony Howard","Anna Boden, Ryan Fleck",18174,$0.13M,6.4
Body of Proof,60,    Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.,2013,"Comedy, Crime, Drama            ","Dana Delany, Jeri Ryan, Geoffrey Arend, Windell Middlebrooks",,14273,,7.1
The Peanuts Movie,88,"    Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",2015,"Animation, Adventure, Comedy            ","Noah Schnapp, Bill Melendez, Hadley Belle Miller, Francesca Capaldi",Steve Martino,40156,$130.18M,7.1
Sharknado,86,"    When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",2013,"Action, Adventure, Comedy            ","Ian Ziering, Tara Reid, John Heard, Cassandra Scerbo",Anthony C. Ferrante,44408,,3.3
Zindagi Na Milegi Dobara,155,    Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,2011,"Comedy, Drama            ","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",Zoya Akhtar,61459,$3.11M,8.1
American Ultra,96,    A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,2015,"Action, Comedy, Sci-Fi            ","Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo",Nima Nourizadeh,79094,$14.43M,6.1
Let's Be Cops,104,"    Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",2014,"Action, Comedy, Crime            ","Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev",Luke Greenfield,123546,$82.39M,6.4
Snowmance,90,"    Each year Sarah builds her ""Snow Beau"" snowman with her best friend Nick. After another breakup, she begins to wonder if she'll ever find true love of her own. A little Christmas magic brings her Snow Beau to life.",2017,"Comedy, Drama, Family            ","Ashley Newbrough, Jesse Hutch, Adam Hurtig, Lauren Cochrane",Douglas Mitchell,478,,5.4
Unicorn Store,92,"    Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.",2017,"Comedy, Drama, Fantasy            ","Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford",Brie Larson,15082,,5.5
The Dilemma,111,    A man discovers that his best friend's wife is having an affair.,2011,"Comedy, Drama            ","Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly",Ron Howard,49300,$48.48M,5.3
Scary Movie 5,86,"    A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",2013,Comedy            ,"Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan","Malcolm D. Lee, David Zucker",61950,$32.02M,3.5
