title,runtime,des,date,genre,cast,director,vote,gross,rating
Masters of Sex,60,    Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.,2016,"Drama, Romance            ","Michael Sheen, Lizzy Caplan, Caitlin FitzGerald, Teddy Sears",,33313,,7.9
Brooklyn,117,"    An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",2015,"Drama, Romance            ","Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent",John Crowley,121462,$38.32M,7.5
Blue Is the Warmest Color,180,"    Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",2013,"Drama, Romance            ","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing",Abdellatif Kechiche,128912,$2.20M,7.7
Cinderella,105,"    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",2015,"Drama, Family, Fantasy            ","Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter",Kenneth Branagh,149425,$201.15M,6.9
Fifty Shades Darker,118,"    While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",2017,"Drama, Romance            ","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",James Foley,85233,$114.38M,4.6
Lady Macbeth,89,"    In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",2016,"Drama, Romance            ","Florence Pugh, Cosmo Jarvis, Paul Hilton, Naomi Ackie",William Oldroyd,16425,$1.13M,6.8
To All the Boys I've Loved Before,99,    A teenage girl's secret love letters are exposed and wreak havoc on her love life.,2018,"Drama, Romance            ","Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",Susan Johnson,70789,,7.2
Don Jon,90,"    A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",2013,"Comedy, Drama, Romance            ","Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza",Joseph Gordon-Levitt,220661,$24.48M,6.5
Me Before You,106,    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,2016,"Drama, Romance            ","Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",Thea Sharrock,186501,$56.25M,7.4
The Mountain Between Us,112,"    Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",2017,"Action, Adventure, Drama            ","Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",Hany Abu-Assad,60556,$30.35M,6.4
Just Go with It,117,"    On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",2011,"Comedy, Romance            ","Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman",Dennis Dugan,207940,$103.03M,6.4
A Million Little Things,43,    A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,2018,"Comedy, Drama, Mystery            ","David Giuntoli, Romany Malco, Allison Miller, Christina Moses",,6342,,7.9
Ophelia,114,"    A re-imagining of Hamlet, told from Ophelia's perspective.",2018,"Drama, History, Romance            ","Daisy Ridley, George MacKay, Naomi Watts, Tom Felton",Claire McCarthy,5067,$0.05M,6.7
Fateful Findings,100,"    A computer scientist/novelist reunites with his childhood friend and hacks into government databases, while facing the dire and fateful consequences of his mystical actions obtained as a child.",2013,"Drama, Fantasy, Mystery            ","Neil Breen, Klara Landrat, Jennifer Autry, Victoria Viveiros",Neil Breen,4068,,4.7
The Perks of Being a Wallflower,103,    An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,2012,"Drama, Romance            ","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",Stephen Chbosky,432679,$17.74M,8.0
The Theory of Everything,123,    A look at the relationship between the famous physicist Stephen Hawking and his wife.,2014,"Biography, Drama, Romance            ","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",James Marsh,373421,$35.89M,7.7
The Legend of Tarzan,110,"    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016,"Action, Adventure, Drama            ","Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",David Yates,155051,$126.64M,6.2
The Kissing Booth,105,    A high school student is forced to confront her secret crush at a kissing booth.,2018,"Comedy, Romance            ","Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis",Vince Marcello,49839,,6.1
Mother's Day,118,    Three generations come together in the week leading up to Mother's Day.,2016,"Comedy, Drama, Romance            ","Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",Garry Marshall,30145,$32.46M,5.7
Passengers,116,"    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",2016,"Drama, Romance, Sci-Fi            ","Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",Morten Tyldum,324035,$100.01M,7.0
The Fosters,60,"    Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children.",2018,"Drama, Romance            ","Teri Polo, Sherri Saum, Hayden Byerly, David Lambert",,23258,,7.9
The Next Three Days,133,    A married couple's life is turned upside down when the wife is accused of a murder.,2010,"Action, Crime, Drama            ","Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie",Paul Haggis,172899,$21.15M,7.4
Inherent Vice,148,"    In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",2014,"Comedy, Crime, Drama            ","Joaquin Phoenix, Josh Brolin, Owen Wilson, Katherine Waterston",Paul Thomas Anderson,87638,$8.11M,6.7
Life Itself,117,"    As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",2018,"Drama, Romance            ","Oscar Isaac, Olivia Wilde, Annette Bening, Mandy Patinkin",Dan Fogelman,12686,$4.10M,6.7
Dracula,43,"    Dracula travels to London, with dark plans for revenge against those who ruined his life centuries earlier. However, his plan is complicated when he falls in love with a woman who seems to be a reincarnation of his dead wife.",2014,"Drama, Horror, Romance            ","Jonathan Rhys Meyers, Jessica De Gouw, Thomas Kretschmann, Victoria Smurfit",,27325,,7.4
No Strings Attached,108,"    A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",2011,"Comedy, Romance            ","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",Ivan Reitman,202410,$70.66M,6.2
Overboard,112,"    After a spoiled, wealthy yacht owner is thrown overboard and loses his memory, a mistreated employee convinces him that he is her working-class husband.",2018,"Comedy, Romance            ","Eugenio Derbez, Anna Faris, Eva Longoria, John Hannah",Rob Greenberg,29608,$50.32M,6.0
