title,runtime,des,date,rating,genre
Derry Girls,30,    The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,2018,8.3,Comedy            
Blockers,102,    Three parents try to stop their daughters from losing their virginity on prom night.,2018,6.2,Comedy            
Black-ish,22,"    A family man struggles to gain a sense of cultural identity while raising his kids in a predominantly white, upper-middle-class neighborhood.",2014,7.1,Comedy            
"I, Tonya",120,"    Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",2017,7.5,"Biography, Comedy, Drama            "
The Nice Guys,116,"    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",2016,7.4,"Action, Comedy, Crime            "
Tusk,102,    A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,2014,5.3,"Comedy, Drama, Horror            "
Grace and Frankie,30,"    Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",2015,8.3,Comedy            
Final Space,30,    An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,2018,8.4,"Animation, Action, Adventure            "
Ant-Man and the Wasp,118,"    As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",2018,7.1,"Action, Adventure, Comedy            "
The Disaster Artist,104,"    When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",2017,7.4,"Biography, Comedy, Drama            "
A Series of Unfortunate Events,50,"    After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.",2019,7.8,"Adventure, Comedy, Drama            "
Teenage Mutant Ninja Turtles,101,"    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",2014,5.8,"Action, Adventure, Comedy            "
Anna and the Apocalypse,93,"    A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other.",2017,6.0,"Comedy, Fantasy, Horror            "
Movie 43,94,    A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,2013,4.3,Comedy            
Veep,28,    Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.,2019,8.3,Comedy            
The Intern,121,"    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",2015,7.1,"Comedy, Drama            "
2 Broke Girls,22,    Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.,2017,6.7,Comedy            
What We Do in the Shadows,86,"    Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",2014,7.7,"Comedy, Horror            "
The Grand Tour,60,"    Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",2016,8.7,"Comedy, Talk-Show            "
Saving Mr. Banks,125,"    Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",2013,7.5,"Biography, Comedy, Drama            "
Fresh Off the Boat,22,    A Taiwanese family makes their way in America during the 1990s.,2015,7.8,Comedy            
Mamma Mia! Here We Go Again,114,"    Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",2018,6.7,"Comedy, Musical, Romance            "
A Bad Moms Christmas,104,"    As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",2017,5.5,Comedy            
Under the Silver Lake,139,"    Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",2018,6.5,"Comedy, Crime, Drama            "
Atlanta,30,"    Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",2016,8.6,"Comedy, Drama, Music            "
Hart of Dixie,60,"    New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.",2015,7.7,"Comedy, Drama, Romance            "
Sing,108,"    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,7.1,"Animation, Comedy, Family            "
The Professor,90,    A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.,2018,6.7,"Comedy, Drama            "
The Intouchables,112,"    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,8.5,"Biography, Comedy, Drama            "
The Sisters Brothers,122,"    In 1850s Oregon, the infamous duo of assassins, Eli and Charlie Sisters, chase a gold prospector and his unexpected ally.",2018,7.0,"Comedy, Crime, Drama            "
Bridesmaids,125,"    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",2011,6.8,"Comedy, Romance            "
Good Girls,43,    Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,2018,7.9,"Comedy, Crime, Drama            "
The Spy Who Dumped Me,117,    Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,2018,6.0,"Action, Adventure, Comedy            "
The Kissing Booth,105,    A high school student is forced to confront her secret crush at a kissing booth.,2018,6.1,"Comedy, Romance            "
Bad Moms,100,"    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",2016,6.2,Comedy            
Silver Linings Playbook,122,"    After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",2012,7.7,"Comedy, Drama, Romance            "
American Made,115,"    The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",2017,7.1,"Action, Biography, Comedy            "
Girl Meets World,23,"    More than a decade after Boy Meets World (1993), Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger.",2017,7.2,"Comedy, Drama, Family            "
