title,runtime,des,date,genre,cast,director,vote,gross,rating
The Colombian Connection,100,"The year is 1976 and it is a dangerous year in the Straits of Yucatan. The man is Jack Hooks, a former cop set up by his corrupt partner and sent to jail for a drug crime he didn't commit. After being yanked out of prison with an early release deal offered by the DEA, he is sent on a do or die mission; bring down the drug trade of his former partner, Frank Rossi and his contacts. Hooks has no choice but to plunge into the underworld of marijuana smuggling by making one big run through the narrow channel that flows between Cuba and Mexico, also known as ""The Eye"", and into the heart of a violent Colombian drug ring. At the head of the ring is Carlos Huerta, the ruthless drug lord that is Rossi's source of supply, and Jack's final objective. That is, if he can escape the jungles of Colombia before his clandestine relationship with Elena, Huerta's young courtesan is discovered and threatens the lives of himself, his crew and his freedom. By: Bertie Higgins, Julian Higgins & Larry Madill",2011,"Action, Crime, Mystery            ","Robert Thorne, Tom Sizemore, Bertie Higgins, Bianca Malinowski",Julian Higgins,250,,3.6
Robin Hood,16,"    Robin Hood and her outlaw band set out to kidnap a bride, to the relief of the bride, the gratitude of the poor minstrel she is in love with, and the consternation of the Sheriff of Nottingham and his right-hand man, Sir Guy of Gisbourne.",2017,"Short, Action            ","Maria Andress, Angela Cunningham, Jojo Dorss, Nancy Gossin",Marielle Cuccinelli,0,,0.0
I Am Hooligan,81,"    A young lad is brainwashed into thinking his only way out of his life on a London Estate is to become a football hooligan and fight his way out. When his best friend tries to steer him in the right path, there is a tragic turn of events.",2016,"Action, Drama            ","Mark Wingett, Darren James King, Chris Bell, Ryan Regis",Steven M. Smith,203,,2.3
Tomb Raider Tribute,12,    Archeologist and adventurer Lara Croft must save her friends Alex and Jean and retrieve the amulet of Horus from Werner Von Croy before it is too late.,2014,"Short, Action            ","Christina Pykles, Stuart Appleton, Joseph Lavender, Todd Wilson",Christina Pykles,9,,3.8
Concealed,86,"Max, a struggling actor living in South Africa, has flown into Sydney, Australia for the audition of his life. As soon as he lands things start to go horribly wrong when his girlfriend Sallie disappears. Frustrated with the police's lack of of progress in finding her, Max embarks on a desperate search with the help of childhood friend Richard. The pair's search pushes them to both external and internal extremities in their desperate plight to find Sallie.",2017,"Action, Drama, Thriller            ","Simon Lyndon, Paul Tassone, Joanne Priest, Yalin Ozucelik",Shane T. Hall,55,,4.1
Mystery of Burma: Beyond The Dotehtawady,0,"A general who sacrificed for secret historic bag on the night of November 1885 while Myanmar last federalist King Thibaw was exiled.Geroge J.Harlam an Anglo-Indian from England called George J Harlam who is interested in Myanmar ancient cultural heritages.George's adopted obedience son, Elvis.Htet Paing, who spent more than a decade of his life time in Europe becomes an accused criminal at one of the attorney offices on Pansodan St at Yangon.The daughter Saung Nanda who heritages the love and interest in ancient histories, abilities of discovering and collecting at ancient artifacts from her father.The girl who got the greatly power to be able to find historical treasure from her father as inheritances. Her name is Saung Nandar.",2018,"Action, Adventure            ","Naw Aung, Zaw Zaw Aung, San Htut, Ah Moon",Arkar,94,,8.6
Now Hiring,94,"    An out of work husband takes his wife's advice on exaggerating his work experience. When he does, he accidentally lands a job as a superhero. Now with no powers to speak of, he must become a hero as his city is threatened by a great evil.",2014,"Action, Comedy, Family            ","Camden Toy, Claire Tablizo, Johanna Goldsmith, Timmy Williams",Mark Cantu,54,,5.6
Relentless,0,"An ex-convict released from prison comes to the aid of a young prostitute from a gang. He has one day to stay out of trouble before he leaves to start his new life. As events accelerate out of control at their every turn he questions his loyalty, to himself and his new found freedom or to his new friend.",2018,Action            ,"Steven Murphy, Tiffany-Ellen Robinson, Tim Faraday, Todd Von Joel",Steven Murphy,0,,0.0
Athena,97,    Two technicians are stranded on a foreign planet by an unexplained explosion and must act fast to stay alive when their rescue team turns out to be a hit squad.,2017,"Action, Sci-Fi, Thriller            ","Hayes Beyersdorfer, Ben Adams, Guile Branco, Andie Ximenes",Andrew Kadikian,22,,6.9
Grand Theft Auto V,3,"    Three very different criminals team-up for a series of daring, yet very profitable, heists in the corrupt city of Los Santos.",2015,Action            ,Ilmar Molder,,8,,7.6
Cold Fusion,84,    In 1979 a UFO is spotted over Ukrainian territory in the Soviet Union. A squadron of MIG23 fighters are dispatched to intercept it.,2011,"Action, Sci-Fi, Thriller            ","Adrian Paul, Sarah Brown, Michelle Lee, William Hope",Ivan Mitov,398,,3.3
Star Wars: Destroyer,7,    Victory may lead to disaster when X-Wing pilots discover a crippled star destroyer crashing towards a nearby planet.,2017,"Short, Action, Fantasy            ","Andrea Nelson, Ben Begley, Keith Cherry, Gregg Land",Arya Moghaddam,34,,7.3
Shadow of the Lotus,125,"Following a daring raid on a harbor drug deal, Sarah, an operative of the Black Lotus triad, is betrayed and left for dead by her associates. After several months of recovery she returns to seek revenge against the crime syndicate that attempted her murder. She soon crosses paths with Claire, a young cop with a strong sense of justice and her own reasons for pursuing the triads. The two form an unlikely partnership to track down Sarah's betrayers. With the stakes rising, the one-time gangster and former cop find themselves caught in the middle of an all out war between two crime syndicates, with both of their lives on the line.",2016,"Action, Thriller            ","Vicky Huang, Melanie Neale, Alex Law, Candice Macalino",Jeff L'Heureux,16,,4.3
Fight to the Finish,94,"A young amateur fighter makes an enemy with a hardened thug when he gets in-between his next-door neighbor and her abusive ex- boyfriend. As his personal life becomes threatened, he realizes he must finish the fight that he started, but this time they'll settle it in the ring for the championship.",2016,"Action, Romance, Sport            ","Jennifer Hale, Tonya Kay, Evan Hannemann, Vincent De Paul",Warren Sheppard,110,,3.5
War Machine,0,Add a Plot,2017,Action            ,"Conner Burry, Christian Rain Cavanaugh",,8,,8.9
Revenge Strategy,95,    A father who has tragically lost his daughter joins forces with a betrayed terrorist to settle a score before the spiral of revenge reaches them.,2016,"Action, Crime, Mystery            ","Alejandro Aguilar, Elizabeth Cervantes, Lara Corrochano, Elkin Díaz",Carlos Varela,10,,7.3
Forza Horizon 2,0,"    Same as the last game, the player is to act as an anonymous guy that signed up for the Horizon Festival. Players that go through all the races beat the game.",2014,"Action, Adventure, Crime            ","Sean Maguire, Spencer Locke, Chris Goss, Hanni El Khatib",,475,,8.3
The Next Kill,81,"    After the city's deadliest serial killer breaks out of jail, the aging Texas Ranger that put him away comes out of retirement to stop the monster's rampage, this time for good. Violence and hilarity ensue as the city is thrown into chaos.",2018,Action            ,"Christie Gilliam Ali, Louie Alonzo, Elizabeth Alton, James Anglin",Mike McCutchen,27,,6.9
Sonic Boom: Rise of Lyric,0,"    The story of Sonic Boom the game serves as a prequel the Sonic Boom TV series. In the game, Sonic and his friends must stop a new villain named Lyric from collecting these magical crystals and end all life as they know it.",2014,"Action, Adventure, Family            ","Roger Craig Smith, Travis Willingham, Mike Pollock, Erin Fitzgerald","Jeff Lander, Bob Rafei",649,,2.8
