title,runtime,des,date,genre,cast,director,vote,gross,rating
Tangled: The Series,21,"    Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.",2017,"Animation, Action, Adventure            ","Mandy Moore, Zachary Levi, Eden Espinosa, Paul F. Tompkins",,1415,,7.6
Psycho-Pass,25,"    Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.",2012,"Animation, Action, Crime            ","Kana Hanazawa, Shizuka Itô, Miyuki Sawashiro, Kenji Nojima",,13439,,8.2
Despicable Me 3,89,"    Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",2017,"Animation, Adventure, Comedy            ","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove","Directors:Kyle Balda, Pierre Coffin, Eric Guillon",100015,$264.62M,6.3
Rio,96,"    When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",2011,"Animation, Adventure, Comedy            ","Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher",Carlos Saldanha,195902,$143.62M,6.9
Over the Garden Wall,110,    Two brothers find themselves lost in a mysterious land and try to find their way home.,2014,"Animation, Short, Adventure            ","Elijah Wood, Collin Dean, Melanie Lynskey, Christopher Lloyd",,32135,,8.8
Angry Birds,97,"    When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",2016,"Animation, Action, Comedy            ","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph","Directors:Clay Kaytis, Fergal Reilly",73975,$107.51M,6.3
Ferdinand,108,"    After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",2017,"Animation, Adventure, Comedy            ","John Cena, Kate McKinnon, Bobby Cannavale, Jack Gore",Carlos Saldanha,42910,$84.41M,6.7
Minions,91,"    Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015,"Animation, Adventure, Comedy            ","Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin","Directors:Kyle Balda, Pierre Coffin",199888,$336.05M,6.4
Hotel Transylvania,91,"    Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",2012,"Animation, Comedy, Family            ","Adam Sandler, Kevin James, Andy Samberg, Selena Gomez",Genndy Tartakovsky,210279,$148.31M,7.1
A Monster Calls,108,    A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,2016,"Animation, Drama, Fantasy            ","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell",J.A. Bayona,73836,$3.73M,7.5
RWBY,13,"    4 Teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all out war.",2012,"Animation, Action, Adventure            ","Lindsay Jones, Kara Eberle, Barbara Dunkelman, Arryn Zech",,4585,,8.0
Mr. Pickles,15,"    The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.",2019,"Animation, Comedy, Horror            ","Kaitlyn Robrock, Dave Stewart, Will Carsola, Jay Johnston",,6015,,7.4
Kung Fu Panda 2,90,"    Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",2011,"Animation, Action, Adventure            ","Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",Jennifer Yuh Nelson,236627,$165.25M,7.2
Steins;Gate,24,"    After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",2015,"Animation, Comedy, Drama            ","Mamoru Miyano, Asami Imai, Kana Hanazawa, Ashly Burch",,35893,,8.8
Loving Vincent,94,"    In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.",2017,"Animation, Biography, Crime            ","Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory","Directors:Dorota Kobiela, Hugh Welchman",43406,$6.74M,7.8
Hotel Transylvania 2,89,"    Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",2015,"Animation, Comedy, Family            ","Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Genndy Tartakovsky,97225,$169.70M,6.7
