title,runtime,des,date,genre,cast,director,vote,gross,rating
Baby Driver,113,"    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",2017,"Action, Crime, Drama            ","Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",Edgar Wright,390288,$107.83M,7.6
Bad Times at the El Royale,141,"    Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",2018,"Crime, Drama, Mystery            ","Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm",Drew Goddard,107988,$17.84M,7.1
Queen of the South,42,    Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,2016,"Action, Crime, Drama            ","Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",,13581,,7.9
The Snowman,119,    Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,2017,"Crime, Drama, Mystery            ","Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Jonas Karlsson",Tomas Alfredson,52255,$6.67M,5.1
Father Brown,52,    Series inspired by the stories of GK Chesterton; a Catholic priest has a knack for solving mysteries in his English village.,2013,"Crime, Drama, Mystery            ","Mark Williams, Sorcha Cusack, John Burton, Nancy Carroll",,6606,,7.7
Animal Kingdom,60,"    Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",2016,"Crime, Drama            ","Ellen Barkin, Shawn Hatosy, Ben Robson, Jake Weary",,20420,,8.2
Zootopia,108,"    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,"Animation, Adventure, Comedy            ","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","Directors:Byron Howard, Rich Moore, Jared Bush",398939,$341.27M,8.0
Code 8,10,    A desperate young man possessing special powers clashes with a militarized police force after committing a petty crime.,2016,"Short, Action, Crime            ","Stephen Amell, Robbie Amell, Sung Kang, Aaron Abrams",Jeff Chan,1814,,7.8
"Three Billboards Outside Ebbing, Missouri",115,    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,2017,"Comedy, Crime, Drama            ","Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones",Martin McDonagh,372343,$54.51M,8.2
End of Watch,109,"    Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",2012,"Action, Crime, Drama            ","Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",David Ayer,216396,$41.00M,7.6
Jessica Jones,56,"    Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.",2019,"Action, Crime, Drama            ","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss",,182458,,8.0
Baywatch,116,"    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",2017,"Action, Comedy, Crime            ","Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra",Seth Gordon,146848,$58.06M,5.5
Bodyguard,60,    A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,2018,"Crime, Drama, Thriller            ","Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon",,75656,,8.2
Endeavour,89,"    Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",2012,"Crime, Drama, Mystery            ","Shaun Evans, Roger Allam, Anton Lesser, Sean Rigby",,15495,,8.6
Banshee,60,"    An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",2016,"Action, Crime, Drama            ","Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison",,78861,,8.4
John Wick: Chapter 2,122,"    After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",2017,"Action, Crime, Thriller            ","Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",Chad Stahelski,324609,$92.03M,7.5
You Were Never Really Here,89,"    A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",2017,"Crime, Drama, Mystery            ","Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov, John Doman",Lynne Ramsay,83689,$2.52M,6.8
The Grand Budapest Hotel,99,"    The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",2014,"Adventure, Comedy, Crime            ","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",Wes Anderson,654126,$59.10M,8.1
Ocean's 8,110,    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,2018,"Action, Comedy, Crime            ","Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling",Gary Ross,157658,$140.22M,6.2
Longmire,60,"    Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",2017,"Action, Crime, Drama            ","Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman",,26692,,8.3
Spring Breakers,94,"    Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",2012,"Crime, Drama            ","Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine",Harmony Korine,129620,$14.12M,5.3
Widows,129,"    Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",2018,"Crime, Drama, Thriller            ","Viola Davis, Michelle Rodriguez, Elizabeth Debicki",Steve McQueen,74171,$42.40M,6.9
Sicario,121,    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015,"Action, Crime, Drama            ","Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",Denis Villeneuve,341293,$46.89M,7.6
Den of Thieves,140,    An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,2018,"Action, Crime, Drama            ","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",Christian Gudegast,76846,$44.95M,7.0
Better Watch Out,89,"    On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.",2016,"Comedy, Crime, Horror            ","Olivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic",Chris Peckover,24678,$0.02M,6.5
Sharp Objects,421,    A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.,2018,"Crime, Drama, Mystery            ","Amy Adams, Patricia Clarkson, Chris Messina, Eliza Scanlen",,53538,,8.2
Logan Lucky,118,    Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,2017,"Comedy, Crime, Drama            ","Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie",Steven Soderbergh,112146,$27.78M,7.0
iZombie,42,"    A medical resident finds that being a zombie has its perks, which she uses to assist the police.",2019,"Comedy, Crime, Drama            ","Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley",,56543,,7.9
Looper,113,"    In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",2012,"Action, Crime, Drama            ","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",Rian Johnson,510917,$66.49M,7.4
Nightcrawler,117,"    When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",2014,"Crime, Drama, Thriller            ","Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",Dan Gilroy,421764,$32.38M,7.9
Night Hunter,98,"    A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders.",2018,"Action, Crime, Drama            ","Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci",David Raymond,6697,,5.8
Dragged Across Concrete,159,"    Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",2018,"Action, Crime, Drama            ","Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White",S. Craig Zahler,25253,,7.0
Vera,90,"    With her caustic wit and singular charm, DCI Vera Stanhope and her team face a series of captivating murder mysteries set against the breathtaking Northumberland landscape.",2011,"Crime, Drama, Mystery            ","Brenda Blethyn, Jon Morrison, Riley Jones, Kenny Doughty",,7367,,7.9
Mayans M.C.,60,"    Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.",2018,"Crime, Drama, Thriller            ","JD Pardo, Clayton Cardenas, Sarah Bolger, Michael Irby",,9769,,7.5
Pain & Gain,129,    A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,2013,"Action, Comedy, Crime            ","Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub",Michael Bay,191591,$49.88M,6.4
Bad Santa 2,92,"    Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",2016,"Comedy, Crime, Drama            ","Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",Mark Waters,21073,$17.78M,5.6
We're the Millers,110,    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013,"Comedy, Crime            ","Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",Rawson Marshall Thurber,381012,$150.39M,7.0
Sneaky Pete,60,"    A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.",2019,"Crime, Drama            ","Giovanni Ribisi, Marin Ireland, Shane McRae, Libe Barer",,25878,,8.2
