,pred
205,7.796157046786426
206,6.725683535127823
207,6.930563629750931
208,7.12191898433112
209,6.849708926399369
210,6.796374546021375
211,6.719934932820397
212,6.7169581542712615
213,6.756189953195605
214,5.829532450746379
215,6.661308176896892
216,6.66929794819442
217,7.3570648576324595
218,7.41380326916975
219,6.778306887472284
220,7.482662358726616
221,7.1263463400194835
222,7.193112389549353
223,7.255737134217871
224,6.86049668904708
225,7.329785705035209
226,7.333429260364766
227,7.14882022489787
228,7.007842827224196
229,6.9899542015423295
230,7.0015910685576355
231,6.7864540239623325
232,6.924924892514662
233,6.795725527055132
234,7.446030193528888
235,7.364013974002035
236,7.435403008417844
237,7.424395452364821
238,7.250473427884572
239,7.303832865582056
240,7.447391139860266
241,6.627682515773723
242,6.76065247680981
243,6.536618284610007
244,7.124898851356396
245,6.987042581669858
246,7.035442173236097
247,7.134669775590522
248,7.438111871725562
249,7.187481348542906
250,7.293818570837239
251,7.466160865968841
252,7.077127641411222
253,7.248592975629939
254,7.164341771597639
255,7.145747719707925
256,7.445775862137047
257,7.474985903448295
258,7.335746646302185
259,7.031356572912684
260,7.097547117262334
261,7.542664572248239
262,7.353840112083364
263,7.307848549741959
264,7.261159114848887
265,6.785583958928352
266,6.418065042340211
267,7.185481982560673
268,7.285404901393168
269,7.093337677155287
270,7.024463763937308
271,6.8018398653991285
272,7.192321652490863
273,7.44597671759306
274,6.997649375535621
275,7.312749276636847
276,7.542664572248239
277,7.308792684029555
278,6.726921586215442
279,7.108345731604044
280,6.233081312597273
281,7.117575355794937
282,7.395115093069395
283,7.6465613411252535
284,6.849708926399369
285,7.546506353879604
286,7.165246329977839
287,7.376720967195825
288,7.4112481899913965
289,6.980550076027927
290,6.777020918663962
291,7.010327187064963
292,7.318535113924644
293,6.849708926399369
294,7.352109477261772
295,7.252991640590434
296,7.037250073236956
297,6.095403772178604
298,6.5156613402689825
299,6.849708926399369
300,6.823123035576135
301,7.542664572248239
302,6.618382897024093
303,5.8041284355562315
